,genes,AD,AD.1,AD.2,AD.3,AD.4,AD.5,AD.6,AD.7,AD.8,AD.9,AD.10,AD.11,AD.12,AD.13,AD.14,AD.15,AD.16,AD.17,AD.18,AD.19,AD.20,AD.21,AD.22,AD.23,AD.24,AD.25,AD.26,AD.27,AD.28,AD.29,AD.30,AD.31,AD.32,AD.33,control,control.1,control.2,control.3,control.4,control.5,control.6,control.7,control.8,control.9,control.10,control.11,control.12,control.13,control.14,control.15,control.16,control.17,control.18,control.19,control.20,control.21,AD.34,AD.35,AD.36,AD.37,AD.38,AD.39,AD.40,AD.41,AD.42,AD.43,AD.44,AD.45,AD.46,AD.47
0,hsa-mir-30a:hsa-miR-30a-3p,-0.1806435270306047,0.22790408729393066,0.596593397781926,-0.10092691935752465,-0.43972250196811496,-0.8283409643743803,-0.1507497991531997,0.7958849169646263,-0.32014759045849484,-0.17067895107146971,2.5197565578949828,1.573121841777157,-0.04113946360271459,0.028612568111230478,-0.2603601347036848,1.0848576197795414,-0.6091202932734101,-0.19060810298973974,0.7560266131280862,0.6663454294958711,-0.6390140211508152,-0.5094745336820601,-0.48954538176379003,-0.7486243567013002,0.08840002386604054,0.5168767901088459,-0.1806435270306047,-0.7984472364969754,0.40726645455836086,0.9951764361473264,-0.7187306288238953,-0.1407852231940647,3.3667455144214586,0.8955306765559763,-0.539368261559465,-0.04113946360271459,0.01864799215209547,-0.31018301449935987,-0.5692619894368701,-0.10092691935752465,0.05850629598863551,-0.6290494451916802,-0.5094745336820601,-1.0973845152710255,-0.9080575720474604,-1.2169594267806458,-0.8980929960883254,-0.9778096037614055,-0.7785180845787053,-1.1870656989032407,-1.0874199393118906,-1.2667823065763208,0.6264871256593311,0.8955306765559763,0.6763100054550061,-0.13082064723492967,0.07843544790690553,-0.7884826605378403,0.9254244044333814,0.19801035941652564,-0.6290494451916802,0.8158140688828962,4.153947015193125,1.8122716647963972,-1.2169594267806458,-0.5493328375186001,-0.0012811597661745498,0.13822290366171558,-0.6988014769056252,-1.2667823065763208
1,hsa-mir-550a-1:hsa-miR-550a-3p,-0.49319714710826684,1.6717962369987298,0.05275770627523667,-0.13550258799493695,0.5579228292335359,-0.6281170246685579,0.3382858192516667,0.3884885643903796,-0.31748753912277144,-0.19198067627598903,1.3548914083106043,0.3759378781057014,0.07472140727342359,0.015105647421201945,-0.8603047209351053,0.3351481476804971,-0.9638478827837009,-0.3425889116921279,1.577666089863643,1.2450729033196697,-0.7410732012306621,-0.1480532742796152,-0.7818629316558664,-0.8414786915080881,-0.35827726954797573,0.8246249127829485,1.3925434671646388,-0.7442108728018316,2.8515607477584846,0.1060981229851192,-0.3802409705461627,-0.7034211423766273,0.4230029516732448,0.5422344713776881,-0.662631411951423,-0.763036902228849,-0.46495810296774076,-0.6940081276631187,-0.38651631368850176,-0.6312546962397275,-0.30807452440926275,-0.8069643042252229,-0.9795362406395487,-1.1238691329133486,0.20650361326254513,-0.39592932840201045,0.5265461135218403,-0.05706079871569794,0.8183495696406093,-0.5747766079586754,-0.44299440196955386,-0.9858115837818878,0.23788032897424072,0.31318444668231016,0.5547851576623664,0.28494540254178413,-0.5120231765352842,-0.992086926924227,-0.35827726954797573,-0.8603047209351053,-0.5590882501028276,0.5234084419506707,3.9434704545254915,3.573225209127483,-1.1521081770538746,-0.49319714710826684,-0.4806464608235886,0.24415567211657985,-0.8195149905099011,-1.2179992800484352
2,hsa-mir-29a:hsa-miR-29a-3p,-0.5720642666861578,-0.008057243192762789,-0.45380472950205886,-0.4810953919291586,-0.4265140670749591,-0.6812269163945568,-0.663033141443157,-0.36283585474505964,-0.5629673792104579,-0.45380472950205886,1.347378990686525,2.466296150197615,0.15568673136983577,0.683306204960431,-0.6721300289188569,-0.08083234299836214,-0.7176144662973565,-0.5993549291132576,1.4110572030164246,2.038742438839719,-0.6084518165889575,-0.03534790561986255,-0.6994206913459566,-0.7267113537730564,-0.6084518165889575,-0.008057243192762789,-0.45380472950205886,-0.7449051287244562,0.09200851903993633,1.4383478654435242,-0.663033141443157,-0.5447736042590581,0.1738805063212356,-0.008057243192762789,0.00103964428293713,-0.49019227940485854,0.9653097167071286,-0.20818876765816102,-0.04444479309556247,-0.4629016169777588,-0.32644830484225995,-0.2900607549394603,-0.5083860543562584,-0.4629016169777588,-0.2809638674637604,-0.5174829418319583,0.692403092436131,-0.08992923047406207,0.22846183117543511,0.00103964428293713,-0.45380472950205886,-0.7540020162001562,0.14658984389413585,0.21026805622403527,0.9471159417557288,0.9289221668043289,-0.5629673792104579,-0.7630989036758561,-0.3082545298908601,-0.25367320503666063,-0.11721989290116182,-0.0626385680469623,5.259040605237491,3.0939813860209098,-0.7903895661029559,-0.5629673792104579,-0.1627043302796614,-0.3901265171721594,-0.7449051287244562,-0.8358740034814555
3,hsa-mir-378e:hsa-miR-378e,-0.3682835618882012,-0.18010947917160205,-0.18010947917160205,-0.5564576446048003,-0.5564576446048003,-0.3682835618882012,-0.5564576446048003,-0.5564576446048003,0.008064603544997077,-0.5564576446048003,-0.18010947917160205,3.77154625787698,0.3844127689781953,2.0779795134275876,-0.5564576446048003,-0.5564576446048003,-0.5564576446048003,-0.5564576446048003,-0.18010947917160205,1.1371090998445919,-0.5564576446048003,-0.3682835618882012,-0.5564576446048003,-0.5564576446048003,-0.5564576446048003,0.008064603544997077,-0.5564576446048003,-0.5564576446048003,-0.3682835618882012,3.583372175160381,-0.5564576446048003,-0.5564576446048003,-0.5564576446048003,0.3844127689781953,-0.18010947917160205,-0.3682835618882012,1.325283182561191,-0.3682835618882012,-0.3682835618882012,-0.3682835618882012,0.5725868516947945,-0.18010947917160205,-0.3682835618882012,-0.3682835618882012,-0.5564576446048003,-0.3682835618882012,2.0779795134275876,-0.18010947917160205,-0.18010947917160205,-0.18010947917160205,-0.3682835618882012,-0.5564576446048003,-0.3682835618882012,-0.5564576446048003,-0.3682835618882012,0.5725868516947945,-0.5564576446048003,-0.5564576446048003,0.9489350171279928,0.008064603544997077,-0.5564576446048003,-0.5564576446048003,3.959720340593579,1.1371090998445919,-0.5564576446048003,-0.3682835618882012,1.1371090998445919,-0.3682835618882012,-0.5564576446048003,-0.5564576446048003
4,hsa-mir-155:hsa-miR-155-5p,-0.39107461768911034,-0.4521800267030338,-0.5438381402239191,-0.024442163605569313,-0.48273273120999555,-0.4521800267030338,-0.5132854357169573,-0.5438381402239191,-0.2994165041682251,0.46440110850581867,2.1753525608956767,2.511432310472256,-0.5438381402239191,0.34219029047797167,-0.5743908447308809,0.12832135892923943,-0.8188124807865749,-0.8188124807865749,1.4420876527285946,2.297563378923524,-0.91047059430746,1.5031930617425182,-0.7882597762796131,-0.666048958251766,-0.6049435492378425,0.06721594991531593,-0.36052191318214855,-0.8799178898004983,0.18942676794316293,2.358668787937447,-0.5438381402239191,-0.08554757261949282,0.09776865442227768,1.2282187211798625,-0.08554757261949282,-0.23831109515430157,1.0143497896311302,-0.26886379966126334,0.34219029047797167,-0.4216273221960721,0.25053217695708646,-0.36052191318214855,0.6782700400545509,0.03666324540835419,-0.5743908447308809,-0.91047059430746,-0.08554757261949282,-0.8493651852935366,-0.4521800267030338,-0.2994165041682251,-0.8799178898004983,-0.91047059430746,-0.4216273221960721,-0.5743908447308809,-0.26886379966126334,0.31163758597100993,-0.6354962537448043,-0.666048958251766,0.46440110850581867,-0.2077583906473398,-0.024442163605569313,-0.48273273120999555,4.772332443987425,1.167113312165939,-0.8799178898004983,-0.36052191318214855,0.37274299498493346,-0.4521800267030338,-0.5743908447308809,-1.032681412335307
5,hsa-mir-628:hsa-miR-628-3p,-0.7536105719219058,-1.0742959216759083,-0.9139532467989071,-0.7536105719219058,-0.9139532467989071,-1.0742959216759083,-1.0742959216759083,-1.0742959216759083,-0.7536105719219058,-1.0742959216759083,3.094613625126124,2.7739282753721217,0.5291308270941041,1.170501526602109,-0.4329252221679034,0.20844547734010158,-0.5932678970449047,-0.9139532467989071,1.9722149009871155,0.5291308270941041,-0.4329252221679034,1.9722149009871155,-0.9139532467989071,-0.1122398724139009,0.04810280246310034,0.20844547734010158,0.8498161768481065,-0.5932678970449047,0.3687881522171028,2.6135856004951203,0.20844547734010158,-0.5932678970449047,0.5291308270941041,-0.27258254729090214,0.3687881522171028,0.04810280246310034,0.3687881522171028,-0.4329252221679034,0.04810280246310034,0.20844547734010158,1.4911868763561116,-0.4329252221679034,0.04810280246310034,-0.4329252221679034,-0.27258254729090214,-0.4329252221679034,1.170501526602109,-0.4329252221679034,0.3687881522171028,-0.27258254729090214,-0.5932678970449047,0.04810280246310034,1.3308442014791104,0.20844547734010158,2.7739282753721217,0.6894735019711054,-0.9139532467989071,-0.7536105719219058,-0.7536105719219058,-0.7536105719219058,-0.9139532467989071,-0.7536105719219058,-0.1122398724139009,0.20844547734010158,-1.0742959216759083,-0.7536105719219058,-0.4329252221679034,-0.5932678970449047,-0.1122398724139009,-0.9139532467989071
6,hsa-mir-26a-2:hsa-miR-26a-5p,-0.6224352868681647,-0.38912702348197525,0.10103298038992167,-0.02002605992179256,-0.3490271657124739,-0.8171626264912735,-0.33535675965468936,-0.030658597966736093,-0.09582086684217575,-0.16341343012788823,1.1434773889963141,0.6701775525956848,0.5160057509440036,0.5314988778094928,-0.7665821240774707,0.3361639645838158,-1.0029282554765013,-0.7838979717506644,1.6234605350251938,1.9919539249828082,-0.8522500020395871,1.328939231180258,-0.9517401794601302,-0.8025808600296367,0.11971586866889389,1.4139995355398063,0.35697336047177675,-0.7280012003143899,0.7148342123844477,1.3213445611481553,-0.38745619607491266,-0.05815130348294723,1.4335937842226307,0.8923975977350047,0.3141394214907185,-0.31728144497828537,1.5224514235982303,-0.004836719857587512,0.1267029650984282,-0.38062099304602043,-0.39672169351407777,-0.5727661448582143,-0.8665279816999399,-0.9221209663349303,-0.8183777736964098,-0.9819669661878982,-0.2797637750196989,-0.8372125553760241,-0.5812721752941691,-1.0308766411946386,-0.9283485957612545,-1.0790268491981685,-0.01364653709482644,0.2178390054836585,0.5155500707420775,0.11607042705348468,-0.39732926711664596,-0.836604981773456,-0.13090824239048943,-0.18407093261520707,-0.7592912408466522,0.19262470097707812,4.60998857844919,2.8972385928094293,-1.0711283923647819,-0.4354545106778006,-0.044632790825804736,-0.10873180589675004,-0.7088626318334915,-1.1631757931538644
7,hsa-mir-106b:hsa-miR-106b-5p,-0.4983282178276572,0.11667892528144681,-0.509823678446519,-0.6132828240162748,-0.40061680256733223,-0.41785999349562486,-0.5615532512313969,-0.5730487118502586,-0.032762062763756025,-0.48108502689936455,0.37532678920583634,3.438867044132494,-0.10748255678635744,0.6742087652962421,-0.6247782846351365,-0.34313949947302347,-0.6075350937068439,-0.6592646664917218,0.43280409230014516,2.059411769869084,-0.64776920587286,1.5536115026391666,-0.6707601271105835,-0.6650123968011526,-0.601787363397413,-0.5328145996842425,-0.4753372965899337,-0.6362737452539983,-0.5155714087559499,3.8756945476492413,-0.601787363397413,-0.6305260149445674,-0.41785999349562486,-0.12472574771465007,0.24312899208892613,-0.23968035390326764,1.2317386053110373,-0.23393262359383676,0.12817438590030858,-0.4063645328767631,-0.09023936585806482,-0.4408509147333484,-0.5213191390653807,-0.6190305543257056,-0.18795078111838975,-0.6535169361822909,0.39831771044355985,-0.37187815102017785,-0.23393262359383676,-0.5730487118502586,-0.4638418359710719,-0.5730487118502586,-0.10173482647692657,0.05345389187770715,0.4960291257038848,1.8237548271824178,-0.5385623299936734,-0.6650123968011526,0.2891108345643732,0.6224791925113641,-0.412112263186194,-0.4638418359710719,3.8986854688869648,1.2547295265487608,-0.6765078574200144,-0.4523463753522102,0.6454701137490877,-0.4523463753522102,-0.6132828240162748,-0.6765078574200144
8,hsa-mir-4781:hsa-miR-4781-3p,-0.5197728649399797,0.5940261313599767,0.5940261313599767,-0.07425326641999709,0.37126633209998544,-0.37126633209998544,0.7425326641999709,0.6682793977799738,0.4455195985199825,-0.5197728649399797,2.598864324699898,0.4455195985199825,1.4108120619799447,0.5197728649399797,-0.14850653283999418,-0.07425326641999709,-1.0395457298799593,-0.14850653283999418,2.524611058279901,1.633571861239936,-0.5197728649399797,-0.14850653283999418,-0.22275979925999126,-0.7425326641999709,0.29701306567998836,0.9652924634599621,0.4455195985199825,-0.5197728649399797,1.4850653283999418,-0.22275979925999126,-0.4455195985199825,-0.14850653283999418,1.1880522627199535,0.4455195985199825,-1.0395457298799593,-1.1137989962999564,-0.5197728649399797,-0.816785930619968,-0.5940261313599767,-0.5197728649399797,-0.14850653283999418,-0.7425326641999709,-0.7425326641999709,-0.9652924634599621,-0.4455195985199825,-1.2623055291399505,-0.6682793977799738,-0.7425326641999709,-0.7425326641999709,-1.4108120619799447,-1.2623055291399505,-1.1880522627199535,-0.7425326641999709,0.22275979925999126,0.0,-0.22275979925999126,0.0,-0.37126633209998544,1.1880522627199535,-0.4455195985199825,-0.37126633209998544,0.14850653283999418,3.7869165874198516,2.1533447261799155,-1.3365587955599476,-0.14850653283999418,0.22275979925999126,1.1880522627199535,-0.37126633209998544,-1.4850653283999418
9,hsa-mir-204:hsa-miR-204-5p,0.20341978100172617,-0.1793593767972209,0.12686394944193677,-0.10280354523743147,-0.4090268714765891,-0.4090268714765891,-0.10280354523743147,-0.25591520835701026,-0.10280354523743147,-0.3324710399167997,-0.1793593767972209,0.050308117882147355,-0.3324710399167997,0.050308117882147355,-0.4855827030363785,-0.4090268714765891,-0.4855827030363785,-0.4855827030363785,0.050308117882147355,2.0407597384366722,-0.3324710399167997,1.1986455912789886,-0.25591520835701026,-0.4855827030363785,-0.4090268714765891,-0.4090268714765891,0.356531444121305,-0.3324710399167997,-0.25591520835701026,0.12686394944193677,-0.25591520835701026,-0.4855827030363785,-0.25591520835701026,-0.3324710399167997,-0.3324710399167997,0.5096431072408838,-0.25591520835701026,0.050308117882147355,-0.1793593767972209,0.7393106019202521,-0.1793593767972209,-0.4090268714765891,-0.25591520835701026,-0.1793593767972209,-0.1793593767972209,-0.1793593767972209,-0.4855827030363785,-0.4855827030363785,-0.4855827030363785,-0.02624771367764206,-0.10280354523743147,-0.3324710399167997,-0.3324710399167997,-0.4090268714765891,0.5096431072408838,0.356531444121305,-0.4855827030363785,-0.4855827030363785,0.4330872756810944,-0.10280354523743147,0.050308117882147355,-0.3324710399167997,1.8110922437573038,7.323112116062141,-0.4090268714765891,-0.1793593767972209,-0.02624771367764206,-0.4090268714765891,-0.1793593767972209,-0.4855827030363785
